sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A1m	A1n	A1bf	A1id	9535_A	20180_A	16547_A	191006_A	A1bw	56151_A	A1bx	A1v	1032_A	A1eb	C1	C41	C1c	C1b	C41f	C41e	C39	C41a	C1f	C1ae	C72k	C1eb	C1w	C1ge	C3	C3ju	C1af	C1al	2669_C	C1ai	C41ap	C4a	C41o	C39ae	C3sf	14885_C	281_C	2667_C	13671_C	C1ch	37127_C	C40	C1t	C39u	73272_C	C1fj	C3sa	906_C	2833_C	C1bc	C39a	2836_C	C1a	2839_C	2188_C	C1l	25715_C	2089_C	21507_C	33564_C	12925_C	5429_C	C3cm	7599_C	C54f	C3gk	C1aa	11561_C	C89	11549_C	C1ly	6846_C	33398_C	57874_C	C1kv	C1it	C42.2	2685_C	16794_C	C1bo	2174033_C	C1n	C45e	217229_C	C1jt	21508_C	28857_C	21063_C	2721_C	2668_C	3611_C	1126_C	C1lx	7534_C	C1aw	C3ew	8634_C	45820_C	28071_C	C18d	94219_C	2064709_C	6394_C	21512_C	21511_C	14089_C	C1cu	6277_C	585010_C	26212_C	2686_C	C1hq	2713_C	2689_C	182421_C	C40e	54826_C	10218_C	C1jr	8196_C	2949_C	2662_C	C1lq	58372_C	2675_C	D1	D4	D1n	D2	D17d	D17c	D1r	D1fw	D1c	14945_D	42251_D	D5m
143811	C1	C1_S61_L001_R1_001.fastq.gz	c43ed1d94b2533ac90496b27efb30f71574bf73ae4ff201e9721e2a57d926b7f	C1_S61_L001_R2_001.fastq.gz	8a78c4318b55324a9de359420431d2e3437eba560c494b1cf2d30a432c18fe7a	681	20220121_puntin	5321	1549	87	1517	86	0	0	32	1	1477	35	51	0	30	0	0	0	0	0	0	PCR_negative	NoData	NoData	NoData	NoData	NoData	NoData	999.00000000	999.00000000	NoData	NoData	660	56	17	7	12	12	12	9	8	6	6	0	4	4	0	282	74	0	68	27	26	49	24	15	11	0	20	0	0	0	0	6	0	9	0	11	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0
143804	B-6-24	B-6-24_S59_L001_R1_001.fastq.gz	7327f7b75863679709e15d7c50121b79fd2db4e86e4ef226462c3500d8c5d40e	B-6-24_S59_L001_R2_001.fastq.gz	96c7d7fe40648f89e08c23dc595e237287302c3ddd52ba1e6fd4e57cce1f07f4	681	20220121_puntin	5779	1973	141	1973	141	0	0	0	0	1867	32	0	0	75	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1171	13	267	22	0	0	0	0	0	0	47	0	13	16	23	20	7	21	0	0	0	0	0	0	8	0	21	0	0	10	7	0	11	0	12	8	10	0	0	9	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	0	0	0	9	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	53	23	0	0	6	4	8	0	0	0	0	0
143814	S-53-27	S-53-27_S62_L001_R1_001.fastq.gz	394f3689805f15f92daf21a361c3a9f995cdde3ff75011d16605085d347ad8c5	S-53-27_S62_L001_R2_001.fastq.gz	2a29a9c60a5a1cc1054c91eb43c99957f27ad2fcccb52f6853694b45a6b2fa93	681	20220121_puntin	4453	1405	95	1405	95	0	0	0	0	1381	46	0	0	52	4	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	33	88	51	27	9	16	10	10	0	14	10	10	8	8	11	4	7	7	0	6	0	0	0	11	0	0	0	0	5	5	4	0	0	9	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	8	0	0	6	0	5	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	4	4	4	0	0	0	207	78	0	13	8	7	4	6	4	4	0	0
143825	S-gr-7	S-gr-7_S38_L001_R1_001.fastq.gz	73fa0ee5eb0b4a7f92fab754621e5d6764073da85b0ae1a08776ea5f7872e01a	S-gr-7_S38_L001_R2_001.fastq.gz	d00d7a22788e665686d0fc1f252aa2d0fd85cb5a88e0397570e59055ab5e19a0	681	20220121_puntin	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.53085000	114.31496667	20190601	3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143824	S-gr-6	S-gr-6_S42_L001_R1_001.fastq.gz	f694d9f1087bce4a6e60baf75883e912a9a0e49c3c8a9b7e86e636226ee4bd1a	S-gr-6_S42_L001_R2_001.fastq.gz	1e03e8ca2b30507d2d048a4a294f0a36238ed575419e2fdae69890b1fe7ffce5	681	20220121_puntin	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.53085000	114.31496667	20190601	3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143823	S-gr-4	S-gr-4_S47_L001_R1_001.fastq.gz	a2df584ebd3caa9276339f93a095b65febf785c8324d782b33a0b48aa4ffdde5	S-gr-4_S47_L001_R2_001.fastq.gz	db210183bbc36d36040be4f6c46dd2383f75dcb70e81c76adddf987951965be8	681	20220121_puntin	146	30	2	30	2	0	0	0	0	30	2	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.53085000	114.31496667	20190601	3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143821	S-br-6	S-br-6_S39_L001_R1_001.fastq.gz	d4d3390955050fe4287940ce5366125a700a7f140c9baeba645b0ab59aad3742	S-br-6_S39_L001_R2_001.fastq.gz	9d972888c67c4259505bc0dd4a6b99bcb5a2617c8362ab003f1ec2706f1f94e7	681	20220121_puntin	205	63	4	0	0	0	0	63	4	0	0	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.53085000	114.31496667	20190601	3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143820	S-6-31	S-6-31_S63_L001_R1_001.fastq.gz	c7c6bbe7b1e711dd275687dfd8f74498a0fcb562e732b8f9172f606a26427562	S-6-31_S63_L001_R2_001.fastq.gz	7dea489bdda6c1418d0755f30f07d9e9ee581c7b7564192c14e6b2ff3074959c	681	20220121_puntin	96	20	2	20	2	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143819	S-6-30	S-6-30_S56_L001_R1_001.fastq.gz	fe51fa0186aa7ae05eee9a3c61018687628317bf21f59dd31b141d301fbb6b58	S-6-30_S56_L001_R2_001.fastq.gz	dbc6ef41c34f27d31932093fc0030501fc7fb0dd09becc1f1e9ec15a0cf9b316	681	20220121_puntin	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143818	S-6-17	S-6-17_S54_L001_R1_001.fastq.gz	787bfa98f329e3dae0d90a42f355180aded0e7cdbf186d477bdd901bf33d61f1	S-6-17_S54_L001_R2_001.fastq.gz	12717b61b0360d817212d676771a0c48e2a787b73d2519a04211872d4ad768e0	681	20220121_puntin	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
