sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
143800	B-60-14	B-60-14_S44_L001_R1_001.fastq.gz	46628d7045bce9e5c841f4e6d36423c0ad124b833a0f68138092a148692e6033	B-60-14_S44_L001_R2_001.fastq.gz	61f989cc3245ff6c497c3dc94a2b8b8d346b3d7cd636379097775faa9f0709b8	681	20220121_puntin	3.4411764705882355	1.01890756302521	0.05777310924369748	1.01890756302521	0.05777310924369748	0.0	0.0	0.0	0.0	1.0	0.03046218487394958	0	0	0.060924369747899165	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13
143815	S-60-3	S-60-3_S37_L001_R1_001.fastq.gz	726a742aa90b9fb2c720fd9d52497a9dbcb50e58d464f185ec1dbf560053f089	S-60-3_S37_L001_R2_001.fastq.gz	cfe781bf75544516a4fb498c5a36d5695717961bd4849ec32a8e08d9f498e3e1	681	20220121_puntin	3.386514148103552	1.040939193257074	0.06261288380493679	1.040939193257074	0.06261288380493679	0.0	0.0	0.0	0.0	1.0	0.020469596628537028	0	0	0.053582179409993984	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13
143816	S-60-5	S-60-5_S51_L001_R1_001.fastq.gz	41890d7aaf7b285f4a3892e939a27718e7953f61480e698dc33237a6f766a792	S-60-5_S51_L001_R2_001.fastq.gz	4edfd7170b1b3862a4400ab8f252e47cc6e76511ee762a5b7c15452e961ee28f	681	20220121_puntin	3.4589861751152076	1.0599078341013826	0.060829493087557605	1.0221198156682028	0.059907834101382486	0.0	0.0	0.03778801843317972	0.0009216589861751152	1.0	0.027649769585253458	0	0	0.041474654377880185	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13
143801	B-60-15	B-60-15_S52_L001_R1_001.fastq.gz	39eed4e5afd7dd58a06ceef9e3fb5000640413412d154488b08c400e564ff2f6	B-60-15_S52_L001_R2_001.fastq.gz	5149c736dc029ae72d10d62ac97f99fab76ff4e68a670f650b9d83de9a99eb3c	681	20220121_puntin	3.5113748763600396	1.0089020771513353	0.06627101879327399	1.0089020771513353	0.06627101879327399	0.0	0.0	0.0	0.0	1.0	0.032640949554896145	0	0	0.059347181008902086	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13
143799	B-53-6	B-53-6_S46_L001_R1_001.fastq.gz	a114658835ed940ad21da8abb0a2df2000b62dfd59d20e9b7d7704956cd8a16c	B-53-6_S46_L001_R2_001.fastq.gz	f3ae50c606b5e5cf15733b2f87bd7a75e0e868184f65ca60d6e87aefab685f4f	681	20220121_puntin	3.4687116564417177	1.1251533742331288	0.0638036809815951	1.01840490797546	0.06257668711656442	0.0	0.0	0.1067484662576687	0.001226993865030675	1.0	0.0392638036809816	0	0	0.05521472392638037	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13
143817	S-60-9	S-60-9_S36_L001_R1_001.fastq.gz	7552757ac284feb0183671e9486d9c1f188c7fb34a565a8f4881ee8b01d47697	S-60-9_S36_L001_R2_001.fastq.gz	1771babc85924c027e73f3b659a195d26bfcfb02c3c686de39b6373f13566ee1	681	20220121_puntin	3.6431833007175474	1.0554468362687541	0.06262230919765166	1.0358773646444879	0.06131767775603392	0.0	0.0	0.019569471624266144	0.001304631441617743	1.0	0.0273972602739726	0	0	0.04957599478147423	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13
143822	S-br-8	S-br-8_S43_L001_R1_001.fastq.gz	cf75afe661ba283dca55673033ae1200cb000f900753243c6d37b21dcf167b3d	S-br-8_S43_L001_R2_001.fastq.gz	0935285c9f9e518ff55cae7e8588469e321f80c4881bfd1388cfe94a017b4a84	681	20220121_puntin	2.6926303175554223	1.0233672857998801	0.04913121629718394	1.0155781905332535	0.048532055122828044	0.0	0.0	0.007789095266626723	0.0005991611743559018	1.0	0.014979029358897543	0	0	0.04313960455362492	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.53085000	114.31496667	20190601	3-8
143803	B-6-16	B-6-16_S60_L001_R1_001.fastq.gz	49eeda827c3c26c0f4b43efcf0294e2e1681ee4a70daae272ed54dec63775176	B-6-16_S60_L001_R2_001.fastq.gz	6fc70040c1ed9ddc8e72f306d1ec76971c552f3877db1808dcdf6ae48b410951	681	20220121_puntin	2.820689655172414	1.0517241379310345	0.06436781609195402	1.0517241379310345	0.06436781609195402	0.0	0.0	0.0	0.0	1.0	0.015517241379310345	0	0	0.03333333333333333	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13
143805	B-6-7	B-6-7_S40_L001_R1_001.fastq.gz	72e20aa879c5755844ae200b9953dbc5c119a6487439d05ab1cc42dd48ba34d6	B-6-7_S40_L001_R2_001.fastq.gz	da5a6fc9dafa4313d42b5efe4e7be8779cbd57170337a6b7537cafc776101449	681	20220121_puntin	3.3924501424501425	1.0698005698005697	0.08974358974358974	1.0519943019943019	0.08618233618233619	0.0	0.0	0.017806267806267807	0.0035612535612535613	1.0	0.021367521367521368	0	0	0.052706552706552695	0.002849002849002849	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13
143813	S-53-20	S-53-20_S64_L001_R1_001.fastq.gz	032d7dac118e3292263641243aa3a17dfd2ee07359df161c0aa819b3c33a384a	S-53-20_S64_L001_R2_001.fastq.gz	e5cf221d7e37cb2929d3c72f8b5b1cd130e22f5cf901a19c8c0df46129b32c32	681	20220121_puntin	2.888157894736842	1.0401315789473684	0.06907894736842106	1.0401315789473684	0.06907894736842106	0.0	0.0	0.0	0.0	1.0	0.021710526315789475	0	0	0.04276315789473684	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13
