sample_uid	A1	A1m	A1n	A1bf	A1id	9535_A	20180_A	16547_A	191006_A	A1bw	56151_A	A1bx	A1v	1032_A	A1eb	C1	C41	C1c	C1b	C41f	C41e	C39	C41a	C1f	C1ae	C72k	C1eb	C1w	C1ge	C3	C3ju	C1af	C1al	2669_C	C1ai	C41ap	C4a	C41o	C39ae	C3sf	14885_C	281_C	2667_C	13671_C	C1ch	37127_C	C40	C1t	C39u	73272_C	C1fj	C3sa	906_C	2833_C	C1bc	C39a	2836_C	C1a	2839_C	2188_C	C1l	25715_C	2089_C	21507_C	33564_C	12925_C	5429_C	C3cm	7599_C	C54f	C3gk	C1aa	11561_C	C89	11549_C	C1ly	6846_C	33398_C	57874_C	C1kv	C1it	C42.2	2685_C	16794_C	C1bo	2174033_C	C1n	C45e	217229_C	C1jt	21508_C	28857_C	21063_C	2721_C	2668_C	3611_C	1126_C	C1lx	7534_C	C1aw	C3ew	8634_C	45820_C	28071_C	C18d	94219_C	2064709_C	6394_C	21512_C	21511_C	14089_C	C1cu	6277_C	585010_C	26212_C	2686_C	C1hq	2713_C	2689_C	182421_C	C40e	54826_C	10218_C	C1jr	8196_C	2949_C	2662_C	C1lq	58372_C	2675_C	D1	D4	D1n	D2	D17d	D17c	D1r	D1fw	D1c	14945_D	42251_D	D5m
143800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3697478991596639	0.06932773109243698	0	0.12815126050420167	0.09138655462184873	0.05672268907563025	0.04726890756302521	0.03676470588235294	0.029411764705882353	0.03046218487394958	0	0.009453781512605041	0.008403361344537815	0.0063025210084033615	0	0	0.01050420168067227	0	0.01050420168067227	0.01050420168067227	0	0.009453781512605041	0.0063025210084033615	0.0063025210084033615	0	0.008403361344537815	0	0.007352941176470588	0	0	0	0	0	0	0	0	0	0.004201680672268907	0	0	0.007352941176470588	0.007352941176470588	0	0	0.004201680672268907	0	0	0	0	0	0	0	0	0	0	0	0.005252100840336135	0	0	0	0	0.005252100840336135	0.005252100840336135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004201680672268907	0.004201680672268907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38952438290186636	0.07585791691751957	0	0.10656231186032511	0.07886815171583383	0.04695966285370259	0.052378085490668275	0.030704394942805538	0.028898254063816978	0.036122817579771226	0	0.01625526791089705	0.00481637567730283	0.003612281757977122	0	0	0.007826610475617099	0	0.007826610475617099	0.010836845273931367	0.009030704394942806	0.010836845273931367	0.006622516556291391	0	0	0	0	0.003612281757977122	0	0	0.004214328717639976	0	0	0.00481637567730283	0	0.006622516556291391	0	0	0.005418422636965683	0	0	0.004214328717639976	0.006622516556291391	0.005418422636965683	0.003612281757977122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005418422636965683	0.00481637567730283	0	0	0	0.003612281757977122	0	0	0.003612281757977122	0	0	0	0	0	0	0	0.005418422636965683	0	0.00481637567730283	0	0	0	0	0	0	0	0.004214328717639976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40184331797235023	0.07188940092165899	0	0.10230414746543778	0.09032258064516129	0.047926267281105994	0.04516129032258064	0.0423963133640553	0.017511520737327188	0.017511520737327188	0	0.016589861751152075	0.012903225806451613	0.007373271889400922	0.0064516129032258064	0	0.009216589861751152	0	0.012903225806451613	0.007373271889400922	0.004608294930875576	0.007373271889400922	0.012903225806451613	0.011981566820276499	0	0	0	0.003686635944700461	0	0	0	0	0	0.008294930875576038	0	0	0	0.005529953917050691	0	0	0.005529953917050691	0.0064516129032258064	0.004608294930875576	0	0	0	0	0	0	0	0	0	0	0.003686635944700461	0.0064516129032258064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005529953917050691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003686635944700461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36795252225519287	0.09099901088031652	0.003956478733926805	0.10781404549950543	0.0771513353115727	0.051434223541048464	0.04945598417408507	0.03758654797230465	0.027695351137487636	0.02274975272007913	0	0.01582591493570722	0.00791295746785361	0.006923837784371909	0	0	0.00791295746785361	0	0	0.011869436201780416	0.00791295746785361	0.004945598417408506	0	0.010880316518298714	0	0	0	0.006923837784371909	0	0	0.005934718100890208	0	0	0.005934718100890208	0	0.004945598417408506	0	0.006923837784371909	0.00791295746785361	0	0	0	0	0.005934718100890208	0	0	0	0	0	0	0	0	0	0.006923837784371909	0	0	0	0	0.008902077151335312	0	0	0	0	0	0	0.003956478733926805	0	0	0.003956478733926805	0	0.006923837784371909	0	0	0	0.005934718100890208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003956478733926805	0.003956478733926805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39263803680981596	0.06503067484662577	0.018404907975460124	0.08711656441717791	0.06748466257668712	0.05889570552147239	0.04049079754601227	0.04294478527607362	0.025766871165644172	0.029447852760736196	0	0.006134969325153374	0.0049079754601227	0	0.008588957055214725	0	0.011042944785276074	0	0.007361963190184049	0.008588957055214725	0.006134969325153374	0.011042944785276074	0.011042944785276074	0.006134969325153374	0	0.008588957055214725	0	0.007361963190184049	0	0	0	0.0196319018404908	0	0	0	0	0	0.0049079754601227	0.006134969325153374	0	0.007361963190184049	0	0.0049079754601227	0	0	0	0	0.0098159509202454	0	0	0	0	0	0	0	0.0049079754601227	0	0	0	0	0	0	0	0	0	0	0	0.0049079754601227	0	0	0	0	0.006134969325153374	0.006134969325153374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143817	0.055446836268754074	0.005870841487279843	0.003913894324853229	0.003913894324853229	0	0	0	0	0	0	0	0.0032615786040443573	0	0	0.002609262883235486	0.33463796477495106	0.07371167645140247	0	0.11154598825831702	0.0684931506849315	0.04370515329419439	0.0410958904109589	0.037834311806914545	0.021526418786692758	0.03131115459882583	0	0.015003261578604044	0.007175472928897586	0.007827788649706457	0.0045662100456621	0	0.007827788649706457	0	0.007175472928897586	0.006523157208088715	0.0136986301369863	0.007175472928897586	0.0045662100456621	0.005870841487279843	0.003913894324853229	0.0032615786040443573	0	0.005218525766470972	0	0	0	0	0	0.007827788649706457	0	0.009784735812133072	0	0.003913894324853229	0.005870841487279843	0	0	0	0	0.0045662100456621	0.005870841487279843	0	0	0.0032615786040443573	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032615786040443573	0.0032615786040443573	0	0.0032615786040443573	0	0	0	0	0.0032615786040443573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003913894324853229	0	0	0	0	0	0	0	0.0032615786040443573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6842420611144397	0	0.15398442180946675	0.009586578789694428	0	0	0	0	0	0	0.02396644697423607	0	0.005991611743559017	0.01018573996405033	0.005991611743559017	0.012582384661473937	0	0.011983223487118035	0	0	0	0	0	0	0.004793289394847214	0	0.008388256440982624	0	0	0.008987417615338526	0	0	0.005392450569203115	0	0.004194128220491312	0	0.005991611743559017	0	0	0.005392450569203115	0	0	0	0	0	0.004194128220491312	0.004194128220491312	0	0	0.004194128220491312	0	0	0	0	0	0	0	0.005392450569203115	0	0	0	0	0	0	0	0	0.0035949670461354103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004194128220491312	0.004194128220491312	0.004194128220491312	0.004194128220491312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6827586206896552	0	0.13045977011494253	0.01206896551724138	0	0	0	0	0	0	0.01839080459770115	0	0.004597701149425287	0.008045977011494253	0.013218390804597701	0.014367816091954023	0	0.008045977011494253	0	0	0	0	0	0	0.008045977011494253	0	0.005747126436781609	0	0	0.006896551724137931	0.00632183908045977	0	0.007471264367816092	0	0.005172413793103448	0	0.004597701149425287	0	0	0.00632183908045977	0	0	0	0	0	0.004022988505747126	0.004022988505747126	0	0	0	0.007471264367816092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004022988505747126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004597701149425287	0.004597701149425287	0	0	0	0	0	0	0	0	0	0	0	0	0.004022988505747126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013793103448275862	0.008620689655172414	0	0	0	0	0	0	0	0	0	0.0022988505747126436
143805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6702279202279202	0	0.12962962962962962	0.011396011396011397	0	0	0	0	0	0	0.019943019943019943	0	0.004985754985754986	0.004985754985754986	0.004985754985754986	0.01282051282051282	0	0.010683760683760684	0	0	0	0	0	0	0.004985754985754986	0	0.009259259259259259	0	0	0.004985754985754986	0	0.004985754985754986	0	0	0.0035612535612535613	0	0	0	0	0	0	0	0	0	0	0	0.004985754985754986	0	0.005698005698005698	0	0	0.007122507122507123	0.004985754985754986	0	0	0	0	0	0	0	0.004985754985754986	0	0	0	0	0	0	0	0	0.004273504273504274	0	0	0	0	0	0	0	0.005698005698005698	0	0	0	0	0	0	0	0	0.004273504273504274	0.004273504273504274	0.004273504273504274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035612535612535613	0.0035612535612535613	0	0	0	0	0	0	0	0	0.029914529914529916	0.009259259259259259	0	0.002849002849002849	0	0	0	0	0	0	0.002849002849002849	0
143813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6171052631578947	0.010526315789473684	0.125	0.028289473684210528	0.008552631578947369	0.005263157894736842	0.004605263157894736	0.0059210526315789476	0	0.003947368421052632	0.02236842105263158	0	0.01118421052631579	0.006578947368421052	0.008552631578947369	0.007894736842105263	0	0.01381578947368421	0	0	0	0	0	0	0.008552631578947369	0	0.0059210526315789476	0	0	0	0.0059210526315789476	0	0.008552631578947369	0	0	0	0.004605263157894736	0	0	0.004605263157894736	0	0	0	0	0	0	0	0	0.007236842105263158	0.003947368421052632	0	0.003947368421052632	0	0	0.003947368421052632	0	0.003947368421052632	0	0	0.0059210526315789476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0059210526315789476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003947368421052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02894736842105263	0.009210526315789473	0	0.002631578947368421	0.002631578947368421	0	0	0	0	0	0	0
