Feature,Frequency,nr_sampls_obsed_in
78cfa7640273ecfa85ac68a5aa8bc78c,60,4
9eab3ba4deece12fe9e524442e4fb601,60,2
25b025a280d3db010b3f3ec6d2b8e996,59,1
b1b00991d22d8ff0c9932b741754680a,59,1
e50c93674562b4ff497c49007162ce38,59,1
c52c8697b6bd962b261582e3e7756791,58,1
342eb205d9e109aeb63a88bde276d2cd,58,1
9f99072ac6a5dcb399589e33e7d5fba2,58,2
1ced125485f83cee1841147a7a7c7207,58,1
0eeda2dcbee4bbb2d4544e1847666ea2,57,1
6d2472def21835ebac88eef0f91964b3,57,3
9fd94864f02a10e0cbf939a9f992609d,56,1
a4b2a0cb84f30a54dc7ab3508996908e,56,1
4901bbd71eaf614a5baa97d4de96f49a,56,2
a5c92e6ffce2b7cdd9c42000310c3a11,55,1
6e5b3b5fa1f9627c6cfc0279b7d8b071,54,3
34a5792a9fcfb048eb5f2e801dd340c1,54,1
d30c28b179a4100dc99382abdfdf383f,54,2
56eb334e5d199d4a7e49eeee54832559,54,1
2fd18360935ee6482f66c79a3b5e1f70,53,2
b0883d87040ad7d70a240f77765f6f6c,52,2
7d77b7975c0fdeaaee9e12c9dc888c7f,52,1
2e3ab344ff4e7a4e28cc5219c4780bbe,52,1
a37316c5f4e83592777935b6f56ec1cc,52,2
7b3cd1a079aa5a762921187ea6ddfdbd,52,1
a3160b01d9b88c4be339a6794e3aa0f8,51,2
9cab3082a5d1511ba6038f7cbd91d285,50,3
e81af9c60eec7fffb6cbe2900d3a6a2c,50,1
2aac81236bb21eaaed46e59e2034ad7e,49,1
8b6d0e845f9c581933c1e666e809a05a,49,1
8a45e0b7d52715cbb937eaa0aaebd098,49,1
59c18808d44ad063d2570ace360486b4,49,1
4b0d95b0cb0cdf523534acd1b265cc0e,49,1
8570f5189738b8bc00693a9db6adcdcd,49,1
02618e133b7dac2b24425b15116ed5a4,48,2
141398b39bbbcdda318de98832cbda95,48,1
babc76517138d138deaa83da2464c936,47,1
ce24f46a3355f209f4a90110ec7a5bc0,47,1
3bd31b9e06de7d001fbede3f2f2afada,47,1
76775cc8140a85825db073deb367199e,47,2
51ef3d400e3bd7e983ad278942fbeb17,46,2
3dac23b6a271a1250ba3f168889f69ee,46,1
5216511321a5690de4e335b43bbc8269,46,2
6b2ca83f9823b64afea282ec8cbf7ec0,46,2
7c15d21cf350ec09ec8f909c0ca863db,45,2
b550ebfd6bef3c85e4b8aeff418f94ea,45,1
da6cc46660ce08372dadadde2ebf11ca,45,1
a7e79c631e601796ff51e3428dd346f3,45,1
826b069f6b752f94ef2b2e9fdf3e73a4,45,2
aa6bb744b9f20b4dd1fbafa4f1f4ecec,44,1
3c23f4419e2ccf769eb250685be8b201,43,2
de879644849438346ae0d95e65638837,43,2
ac60c9d2e9d2923a451775f84b5c12bd,43,2
3a008789b7fc51cbc6023bef6ef6ade6,43,1
bc8a6753987085412c4a63f1291383c8,43,1
f69cb148f828971c1a1043677ea578d2,42,1
e7beb217a671e1388bf39fde37fc5a7e,42,1
030a60e348ffbc3163dc701340945593,41,3
53818a706e38c1584f139d2f90fbd8df,41,1
a3237d7dad0fa1d5c1d03a88c6480884,41,1
ec410c18bb956a83b636b0716e16aca4,41,1
af92e2e413f03a94e88e242fc5195a8c,41,2
69059f2d925f560f77429ee54342f81e,41,3
08f578e45c2ab27890b7981d14419db7,40,2
371661a475c9c2a0f453d823c1b1388f,40,1
15ff9af2465460cf7b7b34f3b0d19a50,40,1
70ab205ad7cce123c0c26d952a7b5a46,39,2
d0e1057cd11970f90d94f8fe5ccddf65,39,2
5f26941df21e308a5aa1f3f208b44e17,39,1
8e5a9442b43da5613cb8b9467995d249,38,1
a24b4168c3806c62d94f706640d6aea2,38,1
4e2ced97f1890944fb9ac4769e9e1047,38,2
78d5aae6b66e7d786f091294174e2839,38,1
ad06ec5793802f039b8fa292cdb41367,37,1
04667352a01f0244d2545e5af15d9a03,37,1
315be7e59d855e8f083b2d259d6008cd,37,1
dd4c9934fc94f72b3d3b961009b1371a,37,1
41ee8818826216d4771f65fe882623b2,37,1
6ee33891691e120ebf13bab9064bae43,37,1
04aabe40915a073866ad0dbf71b54cc1,37,1
48d67beed258ec582dde196233fbfb39,36,1
25a7090154c4b2645b16f13f5b03736b,36,2
c8e05fbe5590190c2a049226d2951868,36,2
518917fec1da280e31c183b2e3299abb,35,1
67ecd3c285e05cf942fd989134a3d40b,35,2
96f9b7496107a71a25874c4e76405bb9,35,1
3fa483ec66c39c76abb572f9adc298f6,35,1
1663c4ce81c496f9ad2d5c332cb348e9,34,2
de6fd922e662ca97ccdad9e27d0bc685,34,1
e628f5d55caea9a7eb8e3e72997caeb0,34,1
3c49d186aa695b7d73e5e236ac2bfbe7,34,1
7c7f22b7a90914e7f2bc9be39100fd1d,33,1
caf7d91df227a700379a297185e0d1fb,33,1
f03ca450705a420e8c277d905f709c5d,33,1
13cd4fa0b3eb58c10937d1221431e10c,33,2
3144d748c190fc3166adb7d7f94d8bbf,33,1
ad6618f1197d2f23b6dc91ea07e44bbb,32,1
1a1cbce1a3ce385f74626ec1e0bfb043,32,1
3ff30539a1e22eab2036a7f4e7d9b211,32,1
a1aaa762b29a190643fdddaa5d787c37,32,1
5ce5e20a1f96bcc78181160d601c418c,32,1
6dd6dbedce6449e834ea2119546d479c,32,1
f6ae78912a9535e4c21266fb94b3e8b3,32,1
82653b6db55ad7693845951a19f7eba6,31,1
c0f4cd797b844585e4936fb38485363a,31,1
5912dd566dffcc86d12c718dd15c9901,31,1
715cded7944ea18a9403b5ecba6bae74,31,2
59bb4412ffe50bd0dcb64dcd031f5ab7,31,1
2be912803fd3c9bf52178734a85ab272,30,2
2a84cff905fdf1250fda17ad9b32e23c,30,1
ded5bc21b1a35431e972713aa516ea1e,30,1
835ed0e5350a298a048228881c26c3c1,30,1
34073696f38ddd18e5c7c8318b4315bb,30,3
a08ca7282d9ca24570dcec9bc5936ab0,30,1
c8caac15e4109af8c71e0f1c605639a4,30,1
3fbfe49c7810378593d5c488e9c8bb6b,30,1
728c0eec6720784ae2538eeab437b0b1,29,1
0a603c08b71e5b599bd404015624ef7f,29,2
aaf00d8225004832454e4392b6101447,29,1
a43cc15d35c5f4cf5db945c8b532c680,29,2
57f9bd806464b43566974e46be69de96,29,1
4c62f2452b1a5c8afe689eca12268019,28,1
8745c3ef9d8a2a6cd7b4720324f85ae3,28,2
218a864730b6e22eabd016232a50f370,28,1
094393762ec79be38365636cd6c3a9d4,28,1
6942f0a37c36fc874f6de60da5c83ac7,28,1
11589ce4c3b6e79aeb97465468995ddd,28,1
5279f90b2ff21c9b8c3e759b95aa5fa0,27,1
158f45a5480d3166ad63e21b44e452c6,27,1
60eb4a40c7dcabc2153cd946a514c301,27,1
7641c560262673a428005e5622812637,27,1
f5c46879c38589f8da82a2f4b78e3b3d,27,1
fe04449b8faaa2988a11fab42e1eb72a,27,1
e1261deac2fa417cf07484bf33899540,26,1
1bd30bd84001bc9c80149629409c1cea,26,2
058e1fab33ba048965e575b0580d4e30,26,1
2d63a9391bedf51f2b60d076ac66738b,26,1
b5aa69734e3ea9fe7bc1ceeda46307c5,26,1
d506c43c84f7ec0c561c0a425e99fa83,26,2
245f7601316bdd2b952221101aa69195,26,1
6538ebd2f42f7366f3fc75110c085b94,26,1
f7c378107153875fd43af799b3a5c00e,26,1
83a3d23f831b413ead54c435f724e431,25,1
a384e87971bd9dd247884a28b329e9f4,25,1
2c27dc9a34141bb1023bd21a0d98c6fe,25,1
05c67021d4a7189afd6fd8bd8b136c4b,25,1
f7a86cd02345b1775051f51eb58a833e,25,1
613a6844484c3b2f90d38399d2698624,25,2
c9fe036af6898a611388eb76a7edce25,25,1
5acaa65ec8d56cf7c35ec0a35f4e8969,25,1
230f5c2f0772a4317b5a8b25d43744c1,25,1
d40f6b1f44a0330f6da65c8272c93a0c,25,2
77972cd35884d5c610062f44d668e9fb,24,1
d7768edc29d6e101ebebb52ffd2dbbbb,24,1
56011afe2f4e536d4a42f89e1cc1f8ff,24,1
6dc02cbb5f420269472e31a093b20082,24,2
c7ab73670c72c0262063cc425f787d86,24,1
5366875428f03a7d4404c7a72781d292,24,1
476192c5ed23fd59c715dbe101a970a2,24,1
302aae2e5e25b48d0401354c6b8be22f,24,1
da0b9ebb3067ad6af895821cb3e9ea4c,24,2
bc224d456533b27d226734346c595b68,24,6
6c70e9af7bce5a4b1373a8a475846616,24,1
ad176cc65097d41e3ae3200a108a81a8,24,1
50a399bebb4c023fad26c7c9a6903117,23,1
116c5d943443363b52fe8000026dd331,23,1
f6c3256c02cde290f6fc24e2460b1594,23,1
80cc5e947bf8b2e3c24904edc952fe3d,23,1
