Feature ID	Taxon	Confidence
c438f7be2eb2955d789fad57a6769d67	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_taichungensis	0.969097912800926
0e1d230e0d69495267466132508f9361	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Algimonas	0.7569627100500541
35dd8fffeb6a3cdc9d4cf229cd2e2a65	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas_sp.	0.9943516112560379
77cd18f21765bf8edab2287e1498809f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas_halophila	0.9306647791337943
26a930ff8d7ae487ae9b3beaf07b53ca	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio	0.910964752131937
77caf142e552b317810b00e9c3a78563	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ruegeria	0.8865173371021702
e41f14614e37cc9995c8b457cf815a12	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.8480115933629733
9c7d9a2060bbf25f6a80d54bb8b39618	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Fabibacter	0.9266825154925544
9225b521d19cf8f082cc657a6e5ec30c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	0.9996700113682969
855a784e23043890a74544a85994c529	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__HIMB11; s__uncultured_bacterium	0.9004209889848169
5f303d5361eaea06168f2dd3aae55a2f	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium_acnes	0.9067933441139683
fb7b89b3bfcade882873ef47d423f472	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter	0.9177618380165244
3b6e223668a0eee4a1e47f0057d70c7f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales; f__Arenicellaceae; g__HTCC5015; s__uncultured_bacterium	0.8519214081309606
69186e39e2a3cbd1352fcc153c9bb477	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Milano-WF1B-44; f__Milano-WF1B-44; g__Milano-WF1B-44; s__uncultured_bacterium	0.7789763661438089
9f274d2f0b3b02b92fca593fd842023f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Algimonas	0.7582988331195808
71440271a7594ed2c532570dc91c4ac3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9436277858448401
81f6af54bad98ca8148b731c28579dd9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Cryomorphaceae; g__uncultured	0.9998367406726273
5fd31ff146ae0889f19a3bf52a33429c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9999680941780702
a7b296f2f4c1f45b655af2fca5974256	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae	0.999002098522027
8006e4b39bbe3296c25baeeb00ffec0d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales	0.9937828005056526
aa835af83c7170e30fb9299d29a16b9b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.9999973662605897
2f897656cc26837a0095524c53af80e3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.9999990664093041
f137c11d4a3a8e5673ff015a14c65b1c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Amoebophilaceae; g__Candidatus_Amoebophilus; s__uncultured_bacterium	0.8612717330141546
dc793568b2399b98fc44090efa249ccc	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Acanthopleuribacterales; f__Acanthopleuribacteraceae; g__Acanthopleuribacter; s__Acidobacteria_bacterium	0.904745107887416
51f081e599b43f38c6e5364aee2a73e0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__uncultured; s__uncultured_bacterium	0.9553412758009523
733bb7586fe47d0dc7519a3ab4e1d6e8	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Stappiaceae; g__Labrenzia; s__Labrenzia_alexandrii	0.7911363320317897
4cdd11c55c6581d49ddb369fc46c43c2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__Oleibacter; s__uncultured_bacterium	0.979236150925932
5ad1f5181eb68934b2e7416c311d4a2d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__uncultured_bacterium	0.8335759299012091
3b8d082e2db63f479a1e8fdb5459190e	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Ostreobium_sp.	0.7130822236295833
0dc5b23a367e3a9dda1d7f7315bfd517	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicomonadaceae; g__Endozoicomonas	0.7090088032287611
472cfc4b0ddc5523dedaebf18c3ff134	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9623131314938254
992bed55e2da564978f3638ea90b44c7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.8631536267498743
757e6d45705d7ef73af183b1abf83aa9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales	0.733661037955548
0e43256777faa593680ecb53e574ae14	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Lewinella	0.9969883418756204
3508429a57d12c4c2fadb39ef3267223	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Cloacibacterium; s__uncultured_bacterium	0.9996850972190902
