sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B-53-6,143799,-0.2556820343270031,0.15198496692349292,-0.00021461948539086459,-0.016729422119291584,0.002613902503005288,-0.00014254914613128658,0.021616118256859006,0.012638820335368454,0.004197719036803481,-0.013417538984947318,0.029154019312126626,-0.0,0.0
B-60-14,143800,-0.30330665831837184,-0.005560950116796334,0.01899819033647867,-0.018316723271928605,-0.08175215283177421,0.04134690783445692,0.015707011510027628,0.010917845597713362,0.056865800693482016,0.020397313016314214,-0.006382402994247062,-0.0,0.0
B-60-15,143801,-0.25363388888002586,-0.04801497148369996,-0.07267677608806647,-0.07475709181525987,0.06685837375686861,-0.03596230288004499,0.0367193387196458,0.0012545440563428278,0.00545409112634518,-0.020603759149608655,0.010271346236100211,-0.0,0.0
B-6-16,143803,0.39454631402584084,-0.0419245236031972,0.0011749433840757633,-0.019995922663445197,0.009938626938192328,0.03573131321717129,-0.037078307555483705,3.3843295063516e-06,0.026952468555616352,-0.04783835407075103,-0.016238417005846897,-0.0,0.0
B-6-24,143804,0.3403936199991453,-0.07203075348273219,-0.03577992914948545,-0.06612373938055845,0.05042014346834848,-0.0033744731997850295,0.022881550719591366,-0.016996593063181856,0.004923462442599545,0.04046540218554921,-0.003636927745606461,-0.0,0.0
B-6-7,143805,0.3981591650185065,0.17079789250273367,0.05969256377253993,-0.025443502064626495,0.0036134272022974403,-0.049190712770816575,-0.01772781878614094,-0.022214084713321806,0.002874682892600164,0.009076551652097094,-0.011474386640213123,-0.0,0.0
C1,143811,-0.2548140129129257,-0.06324008610745918,0.11521062392279012,0.10213176512080858,0.0648390416519763,-0.04697104126817033,0.022848386352112393,-0.006833133850947559,0.01354814052278027,-0.0019172998497060316,-0.007840361289697964,-0.0,0.0
S-53-20,143813,0.23117396093609838,-0.07449089570276839,-0.03996824009887251,0.029910319785626013,-0.1192040320020498,-0.07941070972274103,0.01548008874393603,-0.0017537363833237689,-0.01223072240391584,-0.00820988335542276,0.009598150829411655,-0.0,0.0
S-53-27,143814,0.10127303227562334,0.06125911163212428,-0.1431252817271304,0.1202374993283847,0.026473875822820087,0.034245193926656016,0.007687720080532566,0.0013265308663479335,-0.0005796817038145433,0.007488010714047256,-0.007827958356302551,-0.0,0.0
S-60-3,143815,-0.2688415532778915,-0.041780964899970775,-0.01262711148423031,0.00296820326811993,0.010824148320005783,-0.006952148556741918,-0.11563145251068774,-0.010463446762481444,-0.0038516181324452195,0.013486289948196024,0.01895320100990676,-0.0,0.0
S-60-5,143816,-0.28221025054732396,-0.006942171147787697,0.025775391626817433,-0.015220993892423911,-0.034294809765608975,0.058042141330199304,0.021922574101370985,-0.06514675952880473,-0.03924887572978103,-0.008131861952565822,-0.009022478734867825,-0.0,0.0
S-60-9,143817,-0.25621830519404315,0.011935237828234404,0.0029873242456694774,-0.034273563393143455,-0.007622419143521168,-0.00888818898841906,-0.011703436980782377,0.06158259520886379,-0.03693862108423952,0.004160033297097381,-0.032664949118158405,-0.0,0.0
S-br-8,143822,0.40916061120237085,-0.041991892342173404,0.08055292074480505,0.015613171097738148,0.007291874079440188,0.06152657022436529,0.017278227349018637,0.03568403390791984,-0.02196684621603186,0.0050450965497024,0.027111164497396804,-0.0,0.0
proportion_explained,0,0.8086297127586698,0.05450743740294685,0.036890240490027544,0.027106563357683636,0.023823373455420814,0.016429417748746015,0.013449132599479656,0.007309175695138199,0.005395503159617379,0.0037794733909256154,0.0026799699413446797,0.0,0.0
