sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B-53-6,143799,-0.27668220215051637,-0.07466561539215345,0.09615475437227061,0.012783965575401141,0.014428684653234465,0.026040740690093957,-0.08067705992927572,0.06326687097265218,-0.04820192342387972,-0.023912302597992374,-0.008874418988859526,0.001999928923729168,-0.0
B-60-14,143800,-0.31043491152403574,0.010773305593747253,0.019828799223270303,0.09122776767981416,0.05968950877200971,0.05447900188049985,0.03711305309030337,0.006737860969946974,-0.00987818668616288,0.061529947089311164,0.042539295102683346,0.0009959518831600892,-0.0
B-60-15,143801,-0.2855718110257376,0.12592416755504707,0.01394632056467795,-0.06131956100717562,-0.03254303822796856,-0.04547251795579181,-0.0746426852552518,-0.03909218175298015,0.019427909631176094,0.03711205158255967,-0.0019137441159736922,0.023751541236886668,-0.0
B-6-16,143803,0.44465728617413564,0.037516327760748494,-0.028491704504708802,0.0018057978336665063,-0.0299250189363886,0.06374646356064045,-0.010746821861914566,-0.04368158757229065,-0.06513995247131082,0.028507388790773136,-0.03227530896279678,-0.019802716415996815,-0.0
B-6-24,143804,0.3814041137589453,0.12370990331075991,-0.03591844541679224,-0.03614833402960409,-0.04508213113980254,-0.023971170641510033,-0.015193296282005669,0.060078004268907075,0.01467231821533944,-0.010334166434357958,0.038166251444405545,-0.02643185016981347,-0.0
B-6-7,143805,0.4253401968403563,-0.09825637817766218,0.12263471369976403,0.08276055002897711,-0.058814444826391234,-0.09350141895668851,0.014100866569680475,-0.03090025930822878,-0.001113036599575226,0.0007851328135698261,0.013362040918815897,0.0039211076094621804,-0.0
C1,143811,-0.29288344773156666,-0.1273679850786876,-0.19057438266165802,0.05025394150980495,-0.07708117279803774,-0.031982204205766605,-0.009183198835599293,0.01234598856397467,0.007144692488504522,0.00886194663921004,-0.007377841373238226,-0.0013918926433004668,-0.0
S-53-20,143813,0.25574237265027805,0.03463306395155077,-0.06371948619681352,0.017907691045555764,0.1647978845731976,-0.07904803035117287,0.012331678445223567,0.01865780782593604,-0.011209202447540721,-0.0029737032764229512,-0.023052876535884247,0.009582565148055316,-0.0
S-53-27,143814,0.0968382520750579,-0.15071120812242753,0.014780675217911056,-0.19253362995861234,0.03779670766738033,0.017369537227630263,0.01885295011007706,-0.008625721588125475,0.016659161825669892,0.016840348437866536,0.011901380757287392,-0.0033823511940085497,-0.0
S-60-3,143815,-0.31587351535642716,0.0675358533126823,-0.012611805803247203,-0.04809230577996993,-0.04161129423877747,-0.006724299956222602,0.07491019616919514,-0.015239919714008052,-0.05971944671993368,-0.05150280361970025,0.012871856098790942,0.01772393554526628,-0.0
S-60-5,143816,-0.28477157042926227,0.0031140491595660056,0.0022464355426125913,0.04107718046768216,0.06017924108462045,0.02088120758338439,-0.027669515296825844,-0.0667776296561996,0.03931943158240544,-0.05258771261579523,0.0077637060920784295,-0.028240193381761973,-0.0
S-60-9,143817,-0.29125748403090274,0.04625473465204434,0.08235989728162621,0.001136411210560617,-0.0374138240292884,-0.00021867346896476948,0.06311009942197303,0.03446811037713007,0.04806063636908415,0.013312115862012796,-0.05002913002511762,-0.013752616136227214,-0.0
S-br-8,143822,0.453492720749675,0.0015397814747852142,-0.020635771318912706,0.03914052542389972,-0.014421102553787769,0.09840136459386702,-0.002306266345578362,0.008762656613285522,0.049977598236223046,-0.025638242671032745,-0.003081210412189218,0.035026589594552286,-0.0
proportion_explained,0,0.7739818159271009,0.05199894913921323,0.041124502888334136,0.03613610280489427,0.028921541603125767,0.020210724693520116,0.013696313151065162,0.010195313929564534,0.009675426810068765,0.007286378648362294,0.004408927098242157,0.002364003306508607,0.0
